,ID_SIR_TMJ,X_DEPART,X_FIN,Y_DEPART,Y_FIN,Z_DEPART,Z_FIN,AXE,CUMULD,CUMULF,PLOD,ABSD,PLOF,ABSF,TYPE_CPT,SENS,LIBELLE,LOCALISATI,COMMUNE,CODEINSEE,CATEGORIE,ROUTE,PLOC,ABSC,CUMULC,LATITUDE,LONGITUDE,DERNANCPT,ANNEE_N,MJATVTCJN,MJAPLTCJN,MJAPPLTCJN,COTE,EMPLACEMEN,VOIE,DISTANCE
152,192,344398.7382,347149.4043,6784082.4907,6783425.7503,0.0,0.0,D34,10275,13193,10,367,13,790,Permanent,3,Chavagne - Vern,D34_OF.OE,BRUZ,35047,A,35 D34,13,460,0,48.05742,-1.7429,2021,2021,14727,1961,13.32,,,0,
153,194,348974.7212,351181.5295,6782719.8714,6781428.391,0.0,0.0,D34,15108,17638,15,801,18,679,Permanent,3,Chartres de B - vern,D34_OC.OD,CHARTRES-DE-BRETAGNE,35066,A,35 D34,18,0,0,48.04161,-1.69341,2021,2021,25287,2642,10.45,,,0,
154,196,352535.332,356841.2356,6781797.4107,6782149.8396,0.0,0.0,D34,19053,23332,20,355,24,655,Permanent,3,Chartres de B - Vern,D34_OA.OB,NOYAL-CHATILLON-SUR-SEICHE,35206,A,35 D34,23,730,0,48.04507,-1.6209301,2021,2021,11829,1382,11.68,,,0,
155,229,342543.5266,344487.9276,6772751.0097,6771055.5131,0.0,0.0,D38,30584,33293,31,769,34,665,Temporaire,3,D84 - D3038,GUICHEN,GUICHEN,35126,B,35 D38,34,0,0,47.9463355,-1.7723999,2021,2021,4985,255,5.11,,,0,
156,824,372401.7083,369284.8687,6828939.2179,6825817.298,0.0,0.0,D296,0,4656,0,0,4,686,Permanent,3,Avranches - Rennes,D296_ST_OUEN,SAINT-OUEN-LA-ROUERIE,35303,D,35 D296,0,900,0,48.47076,-1.44197,2021,2021,1231,137,11.16,,,0,
157,230,344487.9276,346814.2335,6771055.5131,6769677.3515,0.0,0.0,D38,33293,36147,34,665,37,526,Temporaire,3,D3038D38 - D77,Déviation Nord de Bourg des Comptes,BOURG-DES-COMPTES,35033,B,35 D38,36,0,0,47.9358278,-1.752058,2021,2021,4714,236,5.01,,,0,
158,227,339758.8178,341012.6032,6775969.6558,6774693.1573,0.0,0.0,D38,26952,28711,26,912,28,697,Temporaire,3,D69 - D177,GUICHEN,GUICHEN,35126,B,35 D38,28,0,0,47.9788799,-1.8204222,2021,2021,5544,159,2.86,,,0,
159,228,340706.5266,342543.5266,6773254.3219,6772751.0097,0.0,0.0,D38,28711,30584,30,0,31,769,Temporaire,3,D177 - D84,Déviation sud de GUICHEN,GUICHEN,35126,B,35 D38,31,600,0,47.9579044,-1.7943296,2021,2021,5319,257,4.84,,,0,
160,231,338712.9461,339758.8178,6778409.2151,6775969.6558,0.0,0.0,D39,0,3026,0,0,3,73,Temporaire,3,D44 D62 D4 - D38,GOVEN,GOVEN,35123,B,35 D39,1,0,0,48.0009667,-1.8416223,2021,2021,2632,55,2.09,,,0,
161,875,359861.0768,355644.7091,6784159.854,6786933.4071,0.0,0.0,D463,37701,43086,37,255,41,1676,Permanent,3,Lim. Rennes Métro - N136,D463_EX.04,CHANTEPIE,35055,C,35 D463,40,830,0,48.0809,-1.61293,2021,2021,8062,565,7.0,,,0,
